feature,alpha,math_margin_mean,code_valid_rate,latex_valid_rate,run,delta_vs_a0
code_feature,-4.0,39.93589743589744,0.23076923076923078,0.9487179487179487,code_feature,-0.1987179487179489
random_control,-4.0,39.01282051282051,0.15384615384615385,0.9487179487179487,code_feature,-1.1217948717948758
code_feature,-3.5,40.01282051282051,0.20512820512820512,0.9487179487179487,code_feature,-0.1217948717948758
random_control,-3.5,39.19230769230769,0.15384615384615385,0.9487179487179487,code_feature,-0.9423076923076934
code_feature,-3.0,40.01923076923077,0.20512820512820512,0.9487179487179487,code_feature,-0.1153846153846203
random_control,-3.0,39.39102564102564,0.15384615384615385,0.9487179487179487,code_feature,-0.7435897435897445
code_feature,-2.5,40.05128205128205,0.20512820512820512,0.9487179487179487,code_feature,-0.0833333333333357
random_control,-2.5,39.48717948717949,0.1794871794871795,0.9487179487179487,code_feature,-0.6474358974358978
code_feature,-2.0,40.07051282051282,0.20512820512820512,0.9487179487179487,code_feature,-0.0641025641025692
random_control,-2.0,39.67948717948718,0.1794871794871795,0.9487179487179487,code_feature,-0.4551282051282044
code_feature,-1.5,40.1025641025641,0.20512820512820512,0.9487179487179487,code_feature,-0.0320512820512846
random_control,-1.5,39.66025641025641,0.1794871794871795,0.9487179487179487,code_feature,-0.474358974358978
code_feature,-1.0,40.07692307692308,0.1794871794871795,0.9487179487179487,code_feature,-0.0576923076923066
random_control,-1.0,39.94230769230769,0.1794871794871795,0.9487179487179487,code_feature,-0.1923076923076934
code_feature,0.0,40.13461538461539,0.1794871794871795,0.9487179487179487,code_feature,0.0
random_control,0.0,40.13461538461539,0.1794871794871795,0.9487179487179487,code_feature,0.0
code_feature,1.0,40.17948717948718,0.1794871794871795,0.9487179487179487,code_feature,0.0448717948717956
random_control,1.0,40.416666666666664,0.1794871794871795,0.9487179487179487,code_feature,0.2820512820512775
code_feature,-4.0,39.93589743589744,0.23076923076923078,0.9487179487179487,math_feature,-0.1987179487179489
random_control,-4.0,39.01282051282051,0.15384615384615385,0.9487179487179487,math_feature,-1.1217948717948758
code_feature,-3.0,40.01923076923077,0.20512820512820512,0.9487179487179487,math_feature,-0.1153846153846203
random_control,-3.0,39.39102564102564,0.15384615384615385,0.9487179487179487,math_feature,-0.7435897435897445
code_feature,-2.0,40.07051282051282,0.20512820512820512,0.9487179487179487,math_feature,-0.0641025641025692
random_control,-2.0,39.67948717948718,0.1794871794871795,0.9487179487179487,math_feature,-0.4551282051282044
code_feature,-1.0,40.07692307692308,0.1794871794871795,0.9487179487179487,math_feature,-0.0576923076923066
random_control,-1.0,39.94230769230769,0.1794871794871795,0.9487179487179487,math_feature,-0.1923076923076934
code_feature,0.0,40.13461538461539,0.1794871794871795,0.9487179487179487,math_feature,0.0
random_control,0.0,40.13461538461539,0.1794871794871795,0.9487179487179487,math_feature,0.0
code_feature,1.0,40.17948717948718,0.1794871794871795,0.9487179487179487,math_feature,0.0448717948717956
random_control,1.0,40.416666666666664,0.1794871794871795,0.9487179487179487,math_feature,0.2820512820512775
code_feature,2.0,40.15384615384615,0.15384615384615385,0.9487179487179487,math_feature,0.019230769230766498
random_control,2.0,40.51923076923077,0.20512820512820512,0.9487179487179487,math_feature,0.3846153846153797
code_feature,3.0,40.17948717948718,0.15384615384615385,0.9487179487179487,math_feature,0.0448717948717956
random_control,3.0,40.68589743589744,0.23076923076923078,0.9487179487179487,math_feature,0.5512820512820511
code_feature,4.0,40.1474358974359,0.15384615384615385,0.9230769230769231,math_feature,0.012820512820510999
random_control,4.0,40.84615384615385,0.23076923076923078,0.9487179487179487,math_feature,0.7115384615384599
